"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"selected_backend__ccle__simpls__cuda__r1","selected_component_backend_panel","ccle","classification","simpls","cuda","cuda","cuda_flash","rsvd","argmax","float64",26,547,71,1000,18,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.394,0.004,0.398,393.17578125,746.48046875,747.0859375,814.8125,421.63671875,"accuracy",0.71830985915493,0.71830985915493,0.404626414454983,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__simpls__cuda__r2","selected_component_backend_panel","ccle","classification","simpls","cuda","cuda","cuda_flash","rsvd","argmax","float64",26,547,71,1000,18,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.336,0.004,0.34,393.08984375,747.0078125,747.61328125,814.75390625,421.6640625,"accuracy",0.71830985915493,0.71830985915493,0.404626414454982,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__simpls__cuda__r3","selected_component_backend_panel","ccle","classification","simpls","cuda","cuda","cuda_flash","rsvd","argmax","float64",26,547,71,1000,18,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.335,0.004,0.339,393.0703125,746.45703125,747.0625,814.6015625,421.53125,"accuracy",0.71830985915493,0.71830985915493,0.404626414454983,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__opls__cpu__r1","selected_component_backend_panel","ccle","classification","opls","cpu","cpu",NA,"rsvd","argmax","float64",25,547,71,1000,18,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.126,0.00399999999999978,0.13,393.16015625,407.7890625,403.67578125,471.578125,78.41796875,"accuracy",0.676056338028169,0.676056338028169,0.382902066511397,NA,23468,71,"success","","","0.99.39"
"selected_backend__ccle__opls__cpu__r2","selected_component_backend_panel","ccle","classification","opls","cpu","cpu",NA,"rsvd","argmax","float64",25,547,71,1000,18,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.126,0.004,0.13,393.19140625,407.8046875,403.69140625,471.2421875,78.05078125,"accuracy",0.676056338028169,0.676056338028169,0.382902066511396,NA,23468,71,"success","","","0.99.39"
"selected_backend__ccle__opls__cpu__r3","selected_component_backend_panel","ccle","classification","opls","cpu","cpu",NA,"rsvd","argmax","float64",25,547,71,1000,18,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.126,0.004,0.13,393.140625,407.75390625,403.640625,471.41015625,78.26953125,"accuracy",0.676056338028169,0.676056338028169,0.382902066511397,NA,23468,71,"success","","","0.99.39"
"selected_backend__ccle__opls__cuda__r1","selected_component_backend_panel","ccle","classification","opls","cuda","cuda",NA,"rsvd","argmax","float64",25,547,71,1000,18,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.385,0.00499999999999989,0.39,393.2109375,757.23046875,753.1171875,819.734375,426.5234375,"accuracy",0.676056338028169,0.676056338028169,0.382902066511393,NA,23468,71,"success","","","0.99.39"
"selected_backend__ccle__opls__cuda__r2","selected_component_backend_panel","ccle","classification","opls","cuda","cuda",NA,"rsvd","argmax","float64",25,547,71,1000,18,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.337,0.004,0.341,393.15625,755.5859375,751.47265625,819.171875,426.015625,"accuracy",0.676056338028169,0.676056338028169,0.382902066511393,NA,23468,71,"success","","","0.99.39"
"selected_backend__ccle__opls__cuda__r3","selected_component_backend_panel","ccle","classification","opls","cuda","cuda",NA,"rsvd","argmax","float64",25,547,71,1000,18,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.337,0.004,0.341,393.17578125,757.09765625,752.984375,820.2109375,427.03515625,"accuracy",0.676056338028169,0.676056338028169,0.382902066511393,NA,23468,71,"success","","","0.99.39"
"selected_backend__ccle__kernelpls__cpu__r1","selected_component_backend_panel","ccle","classification","kernelpls","cpu","cpu","cpu_flash","rsvd","argmax","float64",26,547,71,1000,18,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.122,0.004,0.126,393.21484375,395.07421875,395.13671875,462.94921875,69.734375,"accuracy",0.71830985915493,0.71830985915493,0.404626414454984,NA,23556,71,"success","","","0.99.39"
