"dataset","comparison_profile","implementation","repetitions_completed","median_process_peak_rss_mb","iqr_process_peak_rss_mb","median_prefit_process_rss_mb","iqr_prefit_process_rss_mb","median_baseline_corrected_peak_increment_mb","iqr_baseline_corrected_peak_increment_mb","median_final_process_rss_mb","median_fit_object_mb","median_coefficient_path_mb","median_score_outputs_mb","median_loading_outputs_mb","median_fitted_outputs_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb"
"ccle","estimator_kernel","pls",50,485.22265625,0.3916015625,397.80859375,0.09765625,87.3984375,0.384765625,417.70703125,3.57905578613281,3.57077026367188,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"coefficient path (p x q x A)",3.570556640625
"cifar100","estimator_kernel","pls",5,2025.375,0.5234375,1906.67578125,0.09375,118.69921875,0.4296875,1957.7734375,154.108917236328,154.101776123047,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"coefficient path (p x q x A)",154.1015625
"gtex_v8","estimator_kernel","pls",30,628.14453125,0.484375,428.173828125,0.0986328125,199.951171875,0.552734375,560.580078125,46.3953247070312,46.3869323730469,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"coefficient path (p x q x A)",46.38671875
"metref","estimator_kernel","pls",50,494.505859375,0.314453125,395.31640625,0.1005859375,99.158203125,0.294921875,426.876953125,7.43097686767578,7.42742919921875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"coefficient path (p x q x A)",7.42721557617188
"retina","estimator_kernel","pls",50,521.869140625,0.4072265625,422.3515625,0.12109375,99.453125,0.4140625,454.25,0.138565063476562,0.137542724609375,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"coefficient path (p x q x A)",0.1373291015625
"tabula","estimator_kernel","pls",30,657.033203125,0.30859375,477.1875,0.5615234375,179.580078125,0.6396484375,589.34765625,0.538467407226562,0.537322998046875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"coefficient path (p x q x A)",0.537109375
"tcga_brca","estimator_kernel","pls",50,481.138671875,0.2734375,399.541015625,0.0703125,81.595703125,0.2919921875,413.46875,0.275436401367188,0.267242431640625,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"coefficient path (p x q x A)",0.26702880859375
"tcga_hnsc_methylation","estimator_kernel","pls",50,470.93359375,0.423828125,396.19140625,0.0869140625,74.732421875,0.4384765625,403.216796875,0.03057861328125,0.024078369140625,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"coefficient path (p x q x A)",0.02386474609375
"tcga_pan_cancer","estimator_kernel","pls",30,607.205078125,0.4462890625,425.296875,0.1025390625,181.92578125,0.48828125,539.55859375,38.3985748291016,38.3913269042969,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"coefficient path (p x q x A)",38.39111328125
"ccle","complete_workflow","fastpls",50,507.06640625,0,400.4921875,0,106.57421875,0,439.65234375,0.39178466796875,0.137542724609375,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625
"cifar100","complete_workflow","fastpls",10,2989.65625,0,1910.9765625,0,1078.6796875,0,2111.6328125,2.53330993652344,0.586151123046875,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"final coefficient matrix (p x q)",0.5859375
"gtex_v8","complete_workflow","fastpls",30,701.71484375,0,435.16015625,0,266.5546875,0,634.42578125,1.86650085449219,0.244354248046875,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"final coefficient matrix (p x q)",0.244140625
"metref","complete_workflow","fastpls",50,502.66796875,0,399.5390625,0,103.12890625,0,435.046875,0.502334594726562,0.0631561279296875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"final coefficient matrix (p x q)",0.0629425048828125
"retina","complete_workflow","fastpls",50,610.87890625,0,445.77734375,0,165.1015625,0,544.015625,0.05615234375,0.004791259765625,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"final coefficient matrix (p x q)",0.00457763671875
"tabula","complete_workflow","fastpls",30,797.65625,0,543.1875,0,254.46875,0,730.14453125,0.0925445556640625,0.012420654296875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"final coefficient matrix (p x q)",0.01220703125
"tcga_brca","complete_workflow","fastpls",50,516.69140625,0,402.2578125,0,114.43359375,0,448.9453125,0.131263732910156,0.038360595703125,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"final coefficient matrix (p x q)",0.03814697265625
"tcga_hnsc_methylation","complete_workflow","fastpls",50,502.87890625,0,398.23828125,0,104.640625,0,435.4609375,0.0569686889648438,0.01214599609375,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"final coefficient matrix (p x q)",0.011932373046875
"tcga_pan_cancer","complete_workflow","fastpls",30,670.36328125,0,430.89453125,0,239.46875,0,602.88671875,1.57691955566406,0.207733154296875,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"final coefficient matrix (p x q)",0.20751953125
"ccle","estimator_kernel","fastpls",50,512.9765625,0,400.94921875,0,112.02734375,0,445.66015625,3.80507659912109,3.57077026367188,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"coefficient path (p x q x A)",3.570556640625
"cifar100","estimator_kernel","fastpls",10,3112.5078125,0,1910.9140625,0,1201.59375,0,2219.125,155.915725708008,154.101776123047,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"coefficient path (p x q x A)",154.1015625
"gtex_v8","estimator_kernel","fastpls",30,719.51171875,0,454.265625,0,265.24609375,0,651.8984375,47.9424591064453,46.3869323730469,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"coefficient path (p x q x A)",46.38671875
"metref","estimator_kernel","fastpls",50,530.36328125,0,401.7578125,0,128.60546875,0,462.73828125,7.82253265380859,7.42742919921875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"coefficient path (p x q x A)",7.42721557617188
"retina","estimator_kernel","fastpls",50,579.265625,0,455.76953125,0,123.49609375,0,511.859375,0.169868469238281,0.137542724609375,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"coefficient path (p x q x A)",0.1373291015625
"tabula","estimator_kernel","fastpls",30,840.5546875,0,543.05078125,0,297.50390625,0,772.9765625,0.586784362792969,0.537322998046875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"coefficient path (p x q x A)",0.537109375
"tcga_brca","estimator_kernel","fastpls",50,492.09765625,0,402.78125,0,89.31640625,0,424.59375,0.349281311035156,0.267242431640625,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"coefficient path (p x q x A)",0.26702880859375
