"run_id","scenario_id","factor_name","design_partition","factor_value","task_type","n_train","n_test","p","q","latent_rank","class_count","max_ncomp","requested_prefixes","route","backend","svd_method","xprod","requested_oversample","requested_power","replicate","reference"
"14_q_50__cuda_rsvd_auto__rep2","14_q_50","q","one_factor",50,"regression",2000,400,400,50,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"14_q_50__cpu_irlba_explicit__rep3","14_q_50","q","one_factor",50,"regression",2000,400,400,50,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"14_q_50__cuda_rsvd_auto__rep3","14_q_50","q","one_factor",50,"regression",2000,400,400,50,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"15_q_100__cpu_irlba_explicit__rep1","15_q_100","q","one_factor",100,"regression",2000,400,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"15_q_100__cuda_rsvd_auto__rep1","15_q_100","q","one_factor",100,"regression",2000,400,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"15_q_100__cpu_irlba_explicit__rep2","15_q_100","q","one_factor",100,"regression",2000,400,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"15_q_100__cuda_rsvd_auto__rep2","15_q_100","q","one_factor",100,"regression",2000,400,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"15_q_100__cpu_irlba_explicit__rep3","15_q_100","q","one_factor",100,"regression",2000,400,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"15_q_100__cuda_rsvd_auto__rep3","15_q_100","q","one_factor",100,"regression",2000,400,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"16_q_250__cpu_irlba_explicit__rep1","16_q_250","q","one_factor",250,"regression",2000,400,400,250,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"16_q_250__cuda_rsvd_auto__rep1","16_q_250","q","one_factor",250,"regression",2000,400,400,250,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"16_q_250__cpu_irlba_explicit__rep2","16_q_250","q","one_factor",250,"regression",2000,400,400,250,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"16_q_250__cuda_rsvd_auto__rep2","16_q_250","q","one_factor",250,"regression",2000,400,400,250,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"16_q_250__cpu_irlba_explicit__rep3","16_q_250","q","one_factor",250,"regression",2000,400,400,250,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
