"family","case","component","fold","fast_metric","reference_metric","status","error"
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",1,3,2.18995242658163,2.18995242658163,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",1,4,1.94070604805188,1.94070604805188,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",1,5,2.36364355205593,2.36364355205593,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",2,1,1.51626318877497,1.51626318877497,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",2,2,1.71889950164817,1.71889950164817,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",2,3,1.70186756600098,1.70186756600098,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",2,4,1.59930926434744,1.59930926434744,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",2,5,2.0205022786335,2.0205022786335,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",3,1,1.30286585874844,1.30286585874844,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",3,2,1.45213486329282,1.45213486329282,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",3,3,1.23157158416834,1.23157158416834,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",3,4,1.13137684932815,1.13137684932815,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",3,5,1.60385301159237,1.60385301159237,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",4,1,1.1465141297133,1.1465141297133,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",4,2,1.30020392791627,1.30020392791627,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",4,3,1.07121914195663,1.07121914195663,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",4,4,1.00145184889771,1.00145184889771,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",4,5,1.45819284093735,1.45819284093735,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",5,1,0.944739722735475,0.944739722735475,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",5,2,1.12250229255157,1.12250229255157,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",5,3,0.895736676371533,0.895736676371533,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",5,4,0.88758497559912,0.88758497559912,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",5,5,1.26258361848989,1.26258361848989,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",1,1,1.85237414971875,1.85237414971875,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",1,2,2.16679001225674,2.16679001225674,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",1,3,2.28211455346699,2.28211455346699,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",1,4,1.97051387016245,1.97051387016245,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",1,5,2.32719906349246,2.32719906349246,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",2,1,1.59553986275202,1.59553986275203,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",2,2,1.73672781721228,1.73672781721228,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",2,3,1.60179457559823,1.60179457559823,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",2,4,1.69618246063535,1.69618246063535,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",2,5,1.99920182328967,1.99920182328967,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",3,1,1.38273206861321,1.38273206861321,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",3,2,1.4522862466978,1.4522862466978,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",3,3,1.14644551746201,1.14644551746201,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",3,4,1.16396979367147,1.16396979367147,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",3,5,1.4975833307714,1.4975833307714,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",4,1,1.15219172858342,1.15219172858342,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",4,2,1.21522871265972,1.21522871265972,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",4,3,1.01458923488784,1.01458923488784,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",4,4,0.897869252806956,0.897869252806956,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",4,5,1.30003846819697,1.30003846819697,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",5,1,0.92702809931205,0.92702809931205,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",5,2,0.854316300504304,0.854316300504304,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",5,3,0.82561920640606,0.825619206406059,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",5,4,0.770098184672696,0.770098184672696,"success",NA
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned",5,5,1.01756528348867,1.01756528348867,"success",NA
"OPLS","synthetic_classification_p_lt_n",1,1,0.473684210526316,0.473684210526316,"success",NA
"OPLS","synthetic_classification_p_lt_n",1,2,0.473684210526316,0.473684210526316,"success",NA
"OPLS","synthetic_classification_p_lt_n",1,3,0.472222222222222,0.472222222222222,"success",NA
"OPLS","synthetic_classification_p_lt_n",1,4,0.457142857142857,0.457142857142857,"success",NA
"OPLS","synthetic_classification_p_lt_n",1,5,0.484848484848485,0.484848484848485,"success",NA
"OPLS","synthetic_classification_p_lt_n",2,1,0.578947368421053,0.578947368421053,"success",NA
"OPLS","synthetic_classification_p_lt_n",2,2,0.657894736842105,0.657894736842105,"success",NA
"OPLS","synthetic_classification_p_lt_n",2,3,0.527777777777778,0.527777777777778,"success",NA
"OPLS","synthetic_classification_p_lt_n",2,4,0.6,0.6,"success",NA
"OPLS","synthetic_classification_p_lt_n",2,5,0.636363636363636,0.636363636363636,"success",NA
"OPLS","synthetic_classification_p_lt_n",3,1,0.605263157894737,0.605263157894737,"success",NA
"OPLS","synthetic_classification_p_lt_n",3,2,0.657894736842105,0.657894736842105,"success",NA
"OPLS","synthetic_classification_p_lt_n",3,3,0.555555555555556,0.555555555555556,"success",NA
