"dataset","task_type","dataset_path","split_seed","n_train","n_test","p","n_response","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","input_storage_mb","ncomp_requested","replicate","method_id","package","package_version","function_name","algorithm","requested_estimator","executed_estimator","independent_implementation","total_runtime_ms","metric_name","metric_value","accuracy","balanced_accuracy","macro_f1","rmse","q2","mae","status","warning_message","error_message","peak_host_rss_mb","user_cpu_sec","system_cpu_sec","process_status"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mdatools","float64",4.89482116699219,26,4,"mdatools_plsda_or_pls","mdatools","0.15.0","mdatools::plsda or mdatools::pls","SIMPLS/PLS-DA","SIMPLS/PLS-DA","SIMPLS/PLS-DA",TRUE,741,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok","No validation results were found.",,205.992188,1.41,0.09,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mdatools","float64",4.89482116699219,26,5,"mdatools_plsda_or_pls","mdatools","0.15.0","mdatools::plsda or mdatools::pls","SIMPLS/PLS-DA","SIMPLS/PLS-DA","SIMPLS/PLS-DA",TRUE,739,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok","No validation results were found.",,206.328125,1.41,0.09,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mdatools","float64",4.89482116699219,26,6,"mdatools_plsda_or_pls","mdatools","0.15.0","mdatools::plsda or mdatools::pls","SIMPLS/PLS-DA","SIMPLS/PLS-DA","SIMPLS/PLS-DA",TRUE,757,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok","No validation results were found.",,206.3125,1.46,0.09,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mdatools","float64",4.89482116699219,26,7,"mdatools_plsda_or_pls","mdatools","0.15.0","mdatools::plsda or mdatools::pls","SIMPLS/PLS-DA","SIMPLS/PLS-DA","SIMPLS/PLS-DA",TRUE,743,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok","No validation results were found.",,206.101562,1.43,0.1,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mdatools","float64",4.89482116699219,26,8,"mdatools_plsda_or_pls","mdatools","0.15.0","mdatools::plsda or mdatools::pls","SIMPLS/PLS-DA","SIMPLS/PLS-DA","SIMPLS/PLS-DA",TRUE,743,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok","No validation results were found.",,206.40625,1.41,0.09,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mdatools","float64",4.89482116699219,26,9,"mdatools_plsda_or_pls","mdatools","0.15.0","mdatools::plsda or mdatools::pls","SIMPLS/PLS-DA","SIMPLS/PLS-DA","SIMPLS/PLS-DA",TRUE,739,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok","No validation results were found.",,206.355469,1.42,0.11,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mdatools","float64",4.89482116699219,26,10,"mdatools_plsda_or_pls","mdatools","0.15.0","mdatools::plsda or mdatools::pls","SIMPLS/PLS-DA","SIMPLS/PLS-DA","SIMPLS/PLS-DA",TRUE,740,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok","No validation results were found.",,206.148438,1.42,0.1,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mixOmics","float64",4.89482116699219,26,1,"mixOmics_plsda","mixOmics","6.36.0","mixOmics::plsda","PLS-DA","PLS-DA","PLS-DA",TRUE,1031,"accuracy",0.71830985915493,0.71830985915493,0.576322751322751,0.572619047619048,,,,"ok","the standard deviation is zero",,356.652344,2.48,0.13,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mixOmics","float64",4.89482116699219,26,2,"mixOmics_plsda","mixOmics","6.36.0","mixOmics::plsda","PLS-DA","PLS-DA","PLS-DA",TRUE,1031,"accuracy",0.71830985915493,0.71830985915493,0.576322751322751,0.572619047619048,,,,"ok","the standard deviation is zero",,357.046875,2.47,0.16,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mixOmics","float64",4.89482116699219,26,3,"mixOmics_plsda","mixOmics","6.36.0","mixOmics::plsda","PLS-DA","PLS-DA","PLS-DA",TRUE,1021,"accuracy",0.71830985915493,0.71830985915493,0.576322751322751,0.572619047619048,,,,"ok","the standard deviation is zero",,356.875,2.46,0.14,"ok"
