"method_id","dataset","task_type","package","algorithm","ncomp_requested","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","requested_estimator","executed_estimator","reps_ok","median_time_ms","iqr_time_ms","median_peak_host_rss_mb","iqr_peak_host_rss_mb","median_metric","iqr_metric","metric_name","median_accuracy","median_balanced_accuracy","median_macro_f1","median_rmse","median_q2","reps_attempted","reps_ok_status","n_timeout","n_error","n_skipped","method_label","dataset_label","status_label","time_sec","accuracy_label","time_label","rss_label"
"pcv_simpls","retina","classification","pcv","SIMPLS",30,"float64","float64","argmax","pcv","float64","simpls","simpls",10,197.5,2,152.171875,0.227539500000006,0.967776488440596,0,"accuracy",0.967776488440596,0.901549874457733,0.933160842295358,NA,NA,10,10,0,0,0,"pcv / SIMPLS","Retina","",0.1975,"0.968","0.20","152"
"pcv_simpls","tabula","classification","pcv","SIMPLS",44,"float64","float64","argmax","pcv","float64","simpls","simpls",10,896,6.25,305.5742185,0.222655999999972,0.800435486126371,0,"accuracy",0.800435486126371,0.598654992864988,0.58682068731277,NA,NA,10,10,0,0,0,"pcv / SIMPLS","Tabula Muris","",0.896,"0.800","0.90","306"
"pcv_simpls","tcga_brca","classification","pcv","SIMPLS",7,"float64","float64","argmax","pcv","float64","simpls","simpls",10,236,1.75,149.7089845,0.327148749999992,0.852272727272727,0,"accuracy",0.852272727272727,0.680919158361019,0.669563167418508,NA,NA,10,10,0,0,0,"pcv / SIMPLS","TCGA-BRCA","",0.236,"0.852","0.24","150"
"pcv_simpls","tcga_hnsc_methylation","classification","pcv","SIMPLS",2,"float64","float64","argmax","pcv","float64","simpls","simpls",10,98,0.75,120.712891,0.387695249999993,1,0,"accuracy",1,1,1,NA,NA,10,10,0,0,0,"pcv / SIMPLS","TCGA-HNSC methyl.","",0.098,"1.000","0.10","121"
"pcv_simpls","tcga_pan_cancer","classification","pcv","SIMPLS",185,"float64","float64","argmax","pcv","float64","simpls","simpls",3,2424,44,211.742188,0.417968499999972,0.940936863543788,0,"accuracy",0.940936863543788,0.90513809166767,0.902001623474065,NA,NA,3,3,0,0,0,"pcv / SIMPLS","TCGA Pan-Cancer","",2.424,"0.941","2.42","212"
"pls_simpls_fit","ccle","classification","pls","SIMPLS",26,"float64","float64","argmax","pls","float64","simpls","simpls",10,57,0.75,139.207031,0.265625499999999,0.71830985915493,0,"accuracy",0.71830985915493,0.59021164021164,0.602765752765753,NA,NA,10,10,0,0,0,"pls / SIMPLS","CCLE","",0.057,"0.718","0.06","139"
"pls_simpls_fit","cifar100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,2,"pls / SIMPLS","CIFAR-100","NE",NA,"","",""
"pls_simpls_fit","gtex_v8","classification","pls","SIMPLS",190,"float64","float64","argmax","pls","float64","simpls","simpls",3,2839,12,692.191406,0.128905999999915,0.963613550815558,0,"accuracy",0.963613550815558,0.823156168906619,0.829612729932731,NA,NA,3,3,0,0,0,"pls / SIMPLS","GTEx v8","",2.839,"0.964","2.84","692"
"pls_simpls_fit","metref","classification","pls","SIMPLS",118,"float64","float64","argmax","pls","float64","simpls","simpls",10,239,10,157.1523435,0.176757500000008,0.97,0,"accuracy",0.97,0.972727272727273,0.973096348096348,NA,NA,10,10,0,0,0,"pls / SIMPLS","MetRef","",0.239,"0.970","0.24","157"
"pls_simpls_fit","retina","classification","pls","SIMPLS",30,"float64","float64","argmax","pls","float64","simpls","simpls",10,425,2.75,356.9238285,0.475585749999993,0.967776488440596,0,"accuracy",0.967776488440596,0.901549874457733,0.933160842295358,NA,NA,10,10,0,0,0,"pls / SIMPLS","Retina","",0.425,"0.968","0.42","357"
"pls_simpls_fit","tabula","classification","pls","SIMPLS",44,"float64","float64","argmax","pls","float64","simpls","simpls",3,2575,7.5,1978.660156,0.125,0.800435486126371,0,"accuracy",0.800435486126371,0.598654992864988,0.58682068731277,NA,NA,3,3,0,0,0,"pls / SIMPLS","Tabula Muris","",2.575,"0.800","2.58","1979"
"pls_simpls_fit","tcga_brca","classification","pls","SIMPLS",7,"float64","float64","argmax","pls","float64","simpls","simpls",10,27,0,121.5332035,0.155273499999993,0.852272727272727,0,"accuracy",0.852272727272727,0.680919158361019,0.669563167418508,NA,NA,10,10,0,0,0,"pls / SIMPLS","TCGA-BRCA","",0.027,"0.852","0.03","122"
"pls_simpls_fit","tcga_hnsc_methylation","classification","pls","SIMPLS",2,"float64","float64","argmax","pls","float64","simpls","simpls",10,13,0,106.71875,0.258789000000007,1,0,"accuracy",1,1,1,NA,NA,10,10,0,0,0,"pls / SIMPLS","TCGA-HNSC methyl.","",0.013,"1.000","0.01","107"
"pls_simpls_fit","tcga_pan_cancer","classification","pls","SIMPLS",185,"float64","float64","argmax","pls","float64","simpls","simpls",3,2478,6.5,661.574219,0.1796875,0.940936863543788,0,"accuracy",0.940936863543788,0.90513809166767,0.902001623474065,NA,NA,3,3,0,0,0,"pls / SIMPLS","TCGA Pan-Cancer","",2.478,"0.941","2.48","662"
