"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","n_train","n_test","p","q","response_rank","ncomp","coefficient_identifiable","fastpls_elapsed_sec","reference_elapsed_sec","prediction_correlation","prediction_relative_error","prediction_max_absolute_error","coefficient_relative_error","score_subspace_max_angle_degrees","projection_subspace_max_angle_degrees","loading_subspace_max_angle_degrees","fastpls_metric","reference_metric","metric_absolute_difference","classification_label_agreement","deterministic_tolerance_pass","approximation_tolerance_pass","status","error_message"
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,80,40,300,6,6,2,FALSE,0.00600000000000023,0.00100000000000122,1,5.0760921035633e-16,4.2188474935756e-15,5.38824284604224e-16,0,0,0,1.0785885363983,1.0785885363983,0,NA,TRUE,NA,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,80,40,300,6,6,5,FALSE,0.00600000000000023,0.00100000000000122,1,1.13101996391976e-10,9.26928755973222e-10,2.14230125616048e-08,0,1.20741826972573e-06,1.20741826972573e-06,0.0536554382265884,0.0536554382598687,3.32802951863442e-11,NA,TRUE,NA,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,80,40,300,6,6,7,FALSE,0.00600000000000023,0.00100000000000122,0.999999999999999,2.01211903417846e-10,1.90636256780508e-09,2.38761999700252e-08,0,2.09130978915187e-06,1.4787793334711e-06,0.0555539827551179,0.0555539828139363,5.88183599048442e-11,NA,TRUE,NA,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,80,40,300,6,6,10,FALSE,0.00600000000000023,0.00100000000000122,1,3.52922121470321e-10,2.55624188483239e-09,3.28072666077669e-08,8.53773646251594e-07,1.20741826972573e-06,8.53773646251594e-07,0.0579492105249911,0.0579492106326759,1.07684798578145e-10,NA,TRUE,NA,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,180,60,90,40,40,2,TRUE,0.0149999999999935,0.00399999999999778,0.999999999999979,2.10816054687338e-07,2.41097773567844e-06,2.21879401170102e-07,1.30881021608532e-05,1.53679256325287e-05,1.13587195893275e-05,4.16379213273995,4.16379215474628,2.20063265388148e-08,NA,TRUE,NA,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,180,60,90,40,40,5,TRUE,0.0149999999999935,0.00399999999999778,0.999999999999606,8.86627900031175e-07,1.47474349838639e-05,9.40205258837765e-07,9.19740514492451e-05,0.000100676530779357,8.48334860275201e-05,3.71119607346745,3.71119610528655,3.18190962467213e-08,NA,TRUE,NA,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,180,60,90,40,40,7,TRUE,0.0149999999999935,0.00399999999999778,0.999999999969607,7.82062423915849e-06,0.000132428138737595,8.48385504183481e-06,0.000816532618108819,0.000924077361460266,0.000695237583720502,3.43052052030366,3.43051859861883,1.92168483037491e-06,NA,TRUE,NA,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,180,60,90,40,40,10,TRUE,0.0149999999999935,0.00399999999999778,0.999999999997648,2.16861720853631e-06,3.2087284633775e-05,2.27790225738832e-06,0.000274475944870581,0.000282143449646023,0.000266633113319648,2.81524919356951,2.81524934081668,1.47247171344844e-07,NA,TRUE,NA,"ok",""
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",202,"irlba",NA,NA,NA,180,60,80,8,8,2,TRUE,0.0069999999999979,0.000999999999997669,1,7.41607247857957e-16,5.32907051820075e-15,7.71512480054717e-16,1.20741826972573e-06,1.4787793334711e-06,1.90909591041642e-06,1.96281748019101,1.96281748019101,0,NA,TRUE,NA,"ok",""
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",202,"irlba",NA,NA,NA,180,60,80,8,8,5,TRUE,0.0069999999999979,0.000999999999997669,1,4.25437500875944e-12,3.85700360538976e-11,5.71249459678988e-12,1.4787793334711e-06,1.4787793334711e-06,1.20741826972573e-06,2.12592683169681,2.12592683169663,1.76303416310475e-13,NA,TRUE,NA,"ok",""
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",202,"irlba",NA,NA,NA,180,60,80,8,8,7,TRUE,0.0069999999999979,0.000999999999997669,1,1.88300096411018e-11,2.44537723403937e-10,2.48053414675123e-11,1.20741826972573e-06,1.4787793334711e-06,1.20741826972573e-06,2.36069903654158,2.36069903653787,3.71036534829727e-12,NA,TRUE,NA,"ok",""
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",202,"irlba",NA,NA,NA,180,60,80,8,8,10,TRUE,0.0069999999999979,0.000999999999997669,1,4.32090350109727e-11,5.66958924252958e-10,6.5521629732612e-11,1.70754729250319e-06,1.4787793334711e-06,1.70754729250319e-06,2.50948459739289,2.5094845973862,6.69331257086014e-12,NA,TRUE,NA,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",202,"irlba",NA,NA,NA,150,50,100,8,8,2,FALSE,0.00600000000000023,0.00100000000000477,1,8.17641917976551e-16,7.105427357601e-15,6.96362427626965e-16,0,1.4787793334711e-06,1.4787793334711e-06,1.61106405569331,1.61106405569331,2.22044604925031e-16,NA,TRUE,NA,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",202,"irlba",NA,NA,NA,150,50,100,8,8,5,FALSE,0.00600000000000023,0.00100000000000477,1,8.02120275105475e-16,7.99360577730113e-15,7.35985829289081e-16,1.4787793334711e-06,2.41483653945147e-06,0,0.0508468499085053,0.0508468499085055,1.73472347597681e-16,NA,TRUE,NA,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",202,"irlba",NA,NA,NA,150,50,100,8,8,7,FALSE,0.00600000000000023,0.00100000000000477,0.999999999999999,2.58289438836314e-10,2.70102229471547e-09,3.06412659992054e-08,1.90909591041642e-06,2.69986932838192e-06,1.70754729250319e-06,0.053818287716115,0.0538182877504512,3.4336242182853e-11,NA,TRUE,NA,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",202,"irlba",NA,NA,NA,150,50,100,8,8,10,FALSE,0.00600000000000023,0.00100000000000477,1,4.78946802280435e-10,4.41468150924607e-09,4.66940500892177e-08,1.70754729250319e-06,1.70754729250319e-06,8.53773646251594e-07,0.054683969206425,0.0546839691364643,6.99606969578603e-11,NA,TRUE,NA,"ok",""
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",202,"irlba",NA,NA,NA,300,100,40,4,3,1,TRUE,0.00499999999999545,0,1,4.34970044018721e-16,6.66133814775094e-16,7.22387172248238e-16,0,1.20741826972573e-06,0,0.44,0.44,0,1,TRUE,NA,"ok",""
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",202,"irlba",NA,NA,NA,300,100,40,4,3,2,TRUE,0.00499999999999545,0,1,1.07805069138428e-15,1.38777878078145e-15,1.61932216688445e-15,1.70754729250319e-06,1.70754729250319e-06,1.20741826972573e-06,0.68,0.68,0,1,TRUE,NA,"ok",""
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",202,"irlba",NA,NA,NA,300,100,40,4,3,3,TRUE,0.00499999999999545,0,1,1.15110305589951e-15,1.49880108324396e-15,1.77884688372984e-15,1.4787793334711e-06,1.20741826972573e-06,1.4787793334711e-06,0.83,0.83,0,1,TRUE,NA,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",202,"irlba",NA,NA,NA,120,60,300,12,11,1,FALSE,0.00899999999999324,0.00300000000000011,0.999999999999999,4.77941102073424e-10,1.58610041767204e-10,9.3495536946947e-10,1.90909591041642e-06,0,2.41483653945147e-06,0.0833333333333333,0.0833333333333333,0,1,TRUE,NA,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",202,"irlba",NA,NA,NA,120,60,300,12,11,3,FALSE,0.00899999999999324,0.00300000000000011,1,2.5517452659326e-08,2.09986544263963e-08,4.91160162260612e-08,1.90909591041642e-06,3.07832465919998e-06,2.25887274392255e-06,0.466666666666667,0.466666666666667,0,1,TRUE,NA,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",202,"irlba",NA,NA,NA,120,60,300,12,11,6,FALSE,0.00899999999999324,0.00300000000000011,0.999999999999999,8.47216975309425e-09,1.02929940126728e-08,1.39678176750013e-08,1.90909591041642e-06,2.41483653945147e-06,2.25887274392255e-06,0.783333333333333,0.783333333333333,0,1,TRUE,NA,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",202,"irlba",NA,NA,NA,120,60,300,12,11,8,FALSE,0.00899999999999324,0.00300000000000011,0.999999999999999,6.53842948385282e-09,7.05549231538871e-09,9.89821531251088e-09,1.90909591041642e-06,1.70754729250319e-06,2.41483653945147e-06,0.883333333333333,0.883333333333333,0,1,TRUE,NA,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",202,"irlba",NA,NA,NA,120,60,300,12,11,10,FALSE,0.00899999999999324,0.00300000000000011,1,2.04844422873983e-10,3.12231282495468e-10,4.17630191698055e-10,1.90909591041642e-06,1.70754729250319e-06,2.25887274392255e-06,0.883333333333333,0.883333333333333,0,1,TRUE,NA,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",202,"irlba",NA,NA,NA,180,60,120,6,5,1,TRUE,0.0069999999999979,0.00100000000000477,1,3.07070423123372e-15,2.44249065417534e-15,4.52685845453485e-15,0,1.90909591041642e-06,1.90909591041642e-06,0.333333333333333,0.333333333333333,0,1,TRUE,NA,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",202,"irlba",NA,NA,NA,180,60,120,6,5,2,TRUE,0.0069999999999979,0.00100000000000477,1,5.08835511169181e-16,4.9960036108132e-16,6.60111028986571e-16,0,1.90909591041642e-06,1.90909591041642e-06,0.5,0.5,0,1,TRUE,NA,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",202,"irlba",NA,NA,NA,180,60,120,6,5,3,TRUE,0.0069999999999979,0.00100000000000477,1,8.76859479439912e-16,9.43689570931383e-16,1.32447776254471e-15,0,2.41483653945147e-06,1.90909591041642e-06,0.633333333333333,0.633333333333333,0,1,TRUE,NA,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",202,"irlba",NA,NA,NA,180,60,120,6,5,4,TRUE,0.0069999999999979,0.00100000000000477,1,2.2067780234363e-12,1.94025351341054e-12,5.66345802647615e-12,8.53773646251594e-07,2.25887274392255e-06,1.70754729250319e-06,0.6,0.6,0,1,TRUE,NA,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",202,"irlba",NA,NA,NA,180,60,120,6,5,5,TRUE,0.0069999999999979,0.00100000000000477,1,4.12982813676129e-12,5.84421400162682e-12,7.45270596433916e-12,1.20741826972573e-06,1.90909591041642e-06,1.90909591041642e-06,0.6,0.6,0,1,TRUE,NA,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",303,"irlba",NA,NA,NA,240,80,40,5,5,2,TRUE,0.00600000000000023,0.000999999999997669,1,5.50680360089311e-16,2.66453525910038e-15,6.03323726685287e-16,0,1.20741826972573e-06,1.70754729250319e-06,0.702012756308657,0.702012756308656,2.22044604925031e-16,NA,TRUE,NA,"ok",""
