"dataset","backend","solver","oversample","power","randomized_seed","ncomp","reference_time_sec","candidate_time_sec","prediction_relative_error","prediction_correlation","label_agreement","reference_metric","candidate_metric","metric_absolute_difference","approximation_tolerance_pass","diagnostic_status","gpu_resident"
"synthetic_high_rank_response","cuda","rsvd",20,2,19,10,0.014,0.0289999999999999,6.28764499683489e-06,0.99999999998022,NA,0.674384388881327,0.674384505191479,1.16310151065946e-07,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,19,20,0.014,0.0289999999999999,2.81755229191604e-06,0.999999999996069,NA,0.491227243006608,0.491227273359433,3.03528248646323e-08,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,43,2,0.014,0.0289999999999999,1.31602457099315e-08,1,NA,0.88724208693186,0.887242086555387,3.76473296981317e-10,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,43,5,0.014,0.0289999999999999,1.29182338615879e-07,0.999999999999992,NA,0.779663278379691,0.779663278156909,2.22782348124895e-10,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,43,10,0.014,0.0289999999999999,6.23252864157738e-06,0.999999999980565,NA,0.674384388881327,0.674384471081964,8.22006369638473e-08,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,43,20,0.014,0.0289999999999999,4.59509583805556e-06,0.999999999989444,NA,0.491227243006608,0.491227189448955,5.35576525906301e-08,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,123,2,0.014,0.0299999999999998,5.66263159349776e-08,0.999999999999998,NA,0.88724208693186,0.88724208738293,4.51069293028183e-10,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,123,5,0.014,0.0299999999999998,1.14252972181884e-07,0.999999999999993,NA,0.779663278379691,0.779663278471942,9.22513176959683e-11,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,123,10,0.014,0.0299999999999998,6.25630961969545e-06,0.999999999980416,NA,0.674384388881327,0.67438447796231,8.90809828124617e-08,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,123,20,0.014,0.0299999999999998,4.40806238801442e-06,0.999999999990349,NA,0.491227243006608,0.4912268653154,3.77691208142128e-07,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,4,1,2,0.014,0.0300000000000002,2.16039325729309e-09,1,NA,0.88724208693186,0.887242086880429,5.14313036603653e-11,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,4,1,5,0.014,0.0300000000000002,8.13372434749981e-08,0.999999999999997,NA,0.779663278379691,0.779663277724392,6.55299370322382e-10,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
