"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"retina","plssvd","argmax","cpu","rsvd",9,907,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.926388579076511,0.926388579076511,NA,0.738783280181579,1.084,0.048,1.132,"ok",NA
"retina","plssvd","argmax","cpu","rsvd",10,1009,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.925607851884898,0.925607851884898,NA,0.742463610799127,1.093,0.0459999999999994,1.139,"ok",NA
"retina","plssvd","lda","cpu","rsvd",1,101,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.948695070265447,0.948695070265447,NA,NA,1.045,0.0540000000000003,1.099,"ok",NA
"retina","plssvd","lda","cpu","rsvd",2,211,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.946464421146554,0.946464421146554,NA,NA,1.071,0.0549999999999997,1.126,"ok",NA
"retina","plssvd","lda","cpu","rsvd",3,307,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.950033459736783,0.950033459736783,NA,NA,1.038,0.0530000000000008,1.091,"ok",NA
"retina","plssvd","lda","cpu","rsvd",4,401,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.947579745706,0.947579745706,NA,NA,1.042,0.0519999999999996,1.094,"ok",NA
"retina","plssvd","lda","cpu","rsvd",5,503,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.944122239571715,0.944122239571715,NA,NA,1.046,0.0539999999999985,1.1,"ok",NA
"retina","plssvd","lda","cpu","rsvd",6,601,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.945683693954941,0.945683693954941,NA,NA,1.084,0.0539999999999985,1.138,"ok",NA
"retina","plssvd","lda","cpu","rsvd",7,701,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.948695070265447,0.948695070265447,NA,NA,1.08,0.0530000000000008,1.133,"ok",NA
"retina","plssvd","lda","cpu","rsvd",8,809,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.950256524648673,0.950256524648673,NA,NA,1.074,0.0530000000000008,1.127,"ok",NA
