"family","setting","case","task","component","fold","fast_metric","reference_metric","status","error"
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",3,1,1.25206395076168,1.25206395076168,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",3,2,1.17435408765812,1.17435408765812,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",3,3,1.23707776234032,1.23707776234032,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",3,4,1.18275844526173,1.18275844526173,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",3,5,1.49864627007105,1.49864627007105,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",4,1,0.986842826085462,0.986842826085462,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",4,2,0.944269275946608,0.944269275946608,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",4,3,0.881145033388043,0.881145033388043,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",4,4,0.968160806087244,0.968160806087244,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",4,5,1.17267296983762,1.17267296983762,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",5,1,0.614312207628999,0.614312207628999,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",5,2,0.608408400840586,0.608408400840586,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",5,3,0.566150373635337,0.566150373635337,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",5,4,0.521450333699684,0.521450333699684,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",5,5,0.882085063608819,0.882085063608819,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",1,1,1.78971202270204,1.78971202270204,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",1,2,1.6690255314634,1.6690255314634,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",1,3,1.73427272498841,1.73427272498841,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",1,4,1.82255403365723,1.82255403365723,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",1,5,2.12182210738953,2.12182210738953,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",2,1,1.52150856593643,1.52150856593643,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",2,2,1.35397024847353,1.35397024847353,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",2,3,1.46655322341852,1.46655322341852,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",2,4,1.5529827440841,1.5529827440841,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",2,5,1.79391120279106,1.79391120279106,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",3,1,1.33744649336052,1.33744649336052,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",3,2,1.19805134346901,1.19805134346901,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",3,3,1.29366696967689,1.29366696967689,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",3,4,1.2845343604783,1.2845343604783,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",3,5,1.61351398809327,1.61351398809327,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",4,1,1.19697375247811,1.19697375247811,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",4,2,1.04466095930062,1.04466095930062,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",4,3,1.16767312335903,1.16767312335903,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",4,4,1.14659617550626,1.14659617550626,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",4,5,1.46860350194669,1.46860350194669,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",5,1,0.96778872792856,0.96778872792856,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",5,2,0.83270067617565,0.83270067617565,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",5,3,0.977023353248861,0.97702335324886,"success",NA
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression",5,4,0.873144274203,0.873144274203001,"success",NA
