"component","fast_metric","reference_metric","family","setting","case"
4,0.717417786891471,0.717417786891471,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_classification_p_lt_n"
5,0.739772917141338,0.739772917141338,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_classification_p_lt_n"
1,0.428670160249108,0.428670160249108,"kernelPLS","rbf_gamma_1_over_p","synthetic_classification_p_lt_n"
2,0.584248500037974,0.584248500037974,"kernelPLS","rbf_gamma_1_over_p","synthetic_classification_p_lt_n"
3,0.667472469051416,0.667472469051416,"kernelPLS","rbf_gamma_1_over_p","synthetic_classification_p_lt_n"
4,0.722680944786208,0.722680944786208,"kernelPLS","rbf_gamma_1_over_p","synthetic_classification_p_lt_n"
5,0.728795473532316,0.728795473532316,"kernelPLS","rbf_gamma_1_over_p","synthetic_classification_p_lt_n"
1,0.400492139439508,0.400492139439508,"kernelPLS","rbf_gamma_4_over_p","synthetic_classification_p_lt_n"
2,0.546103136629452,0.546103136629452,"kernelPLS","rbf_gamma_4_over_p","synthetic_classification_p_lt_n"
3,0.585948203842941,0.585948203842941,"kernelPLS","rbf_gamma_4_over_p","synthetic_classification_p_lt_n"
4,0.657743601427812,0.657743601427812,"kernelPLS","rbf_gamma_4_over_p","synthetic_classification_p_lt_n"
5,0.690412394622921,0.690412394622921,"kernelPLS","rbf_gamma_4_over_p","synthetic_classification_p_lt_n"
1,0.427526391736918,0.427526391736918,"kernelPLS","poly_degree2_offset1","synthetic_classification_p_lt_n"
2,0.483957621326042,0.483957621326042,"kernelPLS","poly_degree2_offset1","synthetic_classification_p_lt_n"
3,0.650726817042606,0.650726817042606,"kernelPLS","poly_degree2_offset1","synthetic_classification_p_lt_n"
4,0.684590263537632,0.684590263537632,"kernelPLS","poly_degree2_offset1","synthetic_classification_p_lt_n"
5,0.700433659907344,0.700433659907344,"kernelPLS","poly_degree2_offset1","synthetic_classification_p_lt_n"
1,0.41133971291866,0.41133971291866,"kernelPLS","poly_degree3_offset1","synthetic_classification_p_lt_n"
2,0.474228753702438,0.474228753702438,"kernelPLS","poly_degree3_offset1","synthetic_classification_p_lt_n"
3,0.640492898913952,0.640492898913952,"kernelPLS","poly_degree3_offset1","synthetic_classification_p_lt_n"
4,0.666462368041315,0.666462368041315,"kernelPLS","poly_degree3_offset1","synthetic_classification_p_lt_n"
5,0.68940229361282,0.68940229361282,"kernelPLS","poly_degree3_offset1","synthetic_classification_p_lt_n"
1,0.383482949798739,0.383482949798739,"kernelPLS","poly_degree4_offset1","synthetic_classification_p_lt_n"
2,0.454401154401154,0.454401154401154,"kernelPLS","poly_degree4_offset1","synthetic_classification_p_lt_n"
3,0.489166856535278,0.489166856535278,"kernelPLS","poly_degree4_offset1","synthetic_classification_p_lt_n"
4,0.583902179691653,0.583902179691653,"kernelPLS","poly_degree4_offset1","synthetic_classification_p_lt_n"
5,0.666303637882585,0.666303637882585,"kernelPLS","poly_degree4_offset1","synthetic_classification_p_lt_n"
1,0.299725070251386,0.299725070251386,"kernelPLS","poly_degree3_offset0","synthetic_classification_p_lt_n"
2,0.415989974937343,0.415989974937343,"kernelPLS","poly_degree3_offset0","synthetic_classification_p_lt_n"
3,0.504584947216526,0.504584947216526,"kernelPLS","poly_degree3_offset0","synthetic_classification_p_lt_n"
4,0.605059618743829,0.605059618743829,"kernelPLS","poly_degree3_offset0","synthetic_classification_p_lt_n"
5,0.685200121515911,0.685200121515911,"kernelPLS","poly_degree3_offset0","synthetic_classification_p_lt_n"
1,0.477474937343358,0.477474937343358,"OPLS","north_1","synthetic_classification_p_gt_n"
2,0.589634011499337,0.589634011499337,"OPLS","north_1","synthetic_classification_p_gt_n"
3,0.687052189296771,0.687052189296771,"OPLS","north_1","synthetic_classification_p_gt_n"
4,0.696575998820581,0.696575998820581,"OPLS","north_1","synthetic_classification_p_gt_n"
5,0.696575998820581,0.696575998820581,"OPLS","north_1","synthetic_classification_p_gt_n"
1,0.477474937343358,0.477474937343358,"OPLS","north_2","synthetic_classification_p_gt_n"
2,0.576131505233672,0.576131505233672,"OPLS","north_2","synthetic_classification_p_gt_n"
3,0.578372401592216,0.578372401592216,"OPLS","north_2","synthetic_classification_p_gt_n"
4,0.599660916998378,0.599660916998378,"OPLS","north_2","synthetic_classification_p_gt_n"
