"scenario_id","design_partition","factor_name","factor_value","task_type","route","backend","svd_method","xprod_requested","xprod_used","requested_oversample","requested_power","rsvd_control_profile","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","effective_oversample","effective_power","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_incremental_rss_mb","median_process_peak_rss_mb","median_gpu_process_peak_mb","median_model_size_mb","median_prediction_relative_error","min_prediction_correlation","min_label_agreement","median_metric_absolute_difference","numerical_failures","completed_runs"
"43_crosscov_mb_8_0","one_factor","crosscov_mb",8.00323486328125,"regression","cpu_rsvd_explicit","cpu","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,1049,NA,20,10,1,8.00323486328125,3.373,0.00500000000000034,0.0960000000000001,0.000499999999999709,3.47,0.00500000000000034,33.54675,324.969,NA,8.20049285888672,1.86067733572981e-05,0.999999999826948,NA,1.56123368455496e-07,0,3
"43_crosscov_mb_8_0","one_factor","crosscov_mb",8.00323486328125,"regression","cpu_rsvd_implicit","cpu","rsvd","implicit","TRUE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,1049,NA,20,10,1,8.00323486328125,8.307,0.00849999999999973,0.0960000000000001,0.000499999999999709,8.403,0.0080000000000009,11.10975,299.984,NA,8.20078277587891,1.86067733591014e-05,0.999999999826949,NA,1.56123368455496e-07,0,3
"43_crosscov_mb_8_0","one_factor","crosscov_mb",8.00323486328125,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,1500,300,1000,1049,NA,20,10,1,8.00323486328125,1.373,0.0479999999999998,0.0100000000000002,0.00150000000000005,1.383,0.0495000000000001,124.797125,416.859,NA,8.47108459472656,1.86682468410333e-05,0.999999999824218,NA,1.59456251869194e-07,0,3
"43_crosscov_mb_8_0","one_factor","crosscov_mb",8.00323486328125,"regression","metal_rsvd_explicit","metal","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,1049,NA,20,10,1,8.00323486328125,0.977,0.0509999999999999,0.0089999999999999,0.00150000000000004,0.988,0.0515,108.609625,396.969,NA,8.4710693359375,1.85882749441728e-05,0.99999999982608,NA,1.53910011180258e-07,0,3
"43_crosscov_mb_8_0","one_factor","crosscov_mb",8.00323486328125,"regression","metal_rsvd_implicit","metal","rsvd","implicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,1049,NA,20,10,1,8.00323486328125,0.955,0.016,0.01,0.002,0.966,0.0145,110.983875,405.562,NA,8.4710693359375,1.85882749441728e-05,0.99999999982608,NA,1.53910011180258e-07,0,3
"44_crosscov_mb_16_0","one_factor","crosscov_mb",15.9988403320312,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,1500,300,1000,2097,NA,20,10,1,15.9988403320312,1.751,0.004,0.191,0,1.942,0.004,92.952875,413.781,NA,16.2789611816406,0,1,NA,0,0,3
"44_crosscov_mb_16_0","one_factor","crosscov_mb",15.9988403320312,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,1500,300,1000,2097,NA,20,10,1,15.9988403320312,11.019,0.0140000000000011,0.190999999999999,0.0005000000000005,11.21,0.0135000000000005,82.656375,408.422,NA,16.284065246582,3.35194740247661e-05,0.999999999438492,NA,3.51753297267443e-07,0,3
"44_crosscov_mb_16_0","one_factor","crosscov_mb",15.9988403320312,"regression","cpu_rsvd_explicit","cpu","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,2097,NA,20,10,1,15.9988403320312,6.644,0.00199999999999978,0.191999999999999,0.000499999999999501,6.835,0.00200000000000067,80.905875,406.109,NA,16.284049987793,3.35194740253703e-05,0.999999999438491,NA,3.51753297267443e-07,0,3
"44_crosscov_mb_16_0","one_factor","crosscov_mb",15.9988403320312,"regression","cpu_rsvd_implicit","cpu","rsvd","implicit","TRUE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,2097,NA,20,10,1,15.9988403320312,12.545,0.0240000000000009,0.191000000000001,0.0005000000000005,12.736,0.0234999999999985,65.71925,387.938,NA,16.2843399047852,3.35194740276028e-05,0.999999999438492,NA,3.51753297267443e-07,0,3
"44_crosscov_mb_16_0","one_factor","crosscov_mb",15.9988403320312,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,1500,300,1000,2097,NA,20,10,1,15.9988403320312,2.117,0.0325000000000002,0.0139999999999998,0.00150000000000005,2.131,0.0339999999999998,165.499625,494.359,NA,16.6345977783203,3.34846978739283e-05,0.999999999438356,NA,3.51011983146243e-07,0,3
