"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"metref","simpls","argmax","cpu","rsvd",8,809,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.796610169491525,0.796610169491525,NA,0.296941634627866,0.308999999999999,0.0640000000000001,0.372999999999999,"ok",NA
"metref","simpls","argmax","cpu","rsvd",9,907,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.740112994350282,0.740112994350282,NA,0.304869273561391,0.312999999999999,0.0640000000000001,0.376999999999999,"ok",NA
"metref","simpls","argmax","cpu","rsvd",10,1009,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.751412429378531,0.751412429378531,NA,0.298041030446358,0.31,0.0660000000000007,0.376000000000001,"ok",NA
"metref","simpls","lda","cpu","rsvd",1,101,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.790960451977401,0.790960451977401,NA,NA,0.316000000000001,0.0649999999999995,0.381,"ok",NA
"metref","simpls","lda","cpu","rsvd",2,211,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.870056497175141,0.870056497175141,NA,NA,0.318999999999999,0.0649999999999995,0.383999999999999,"ok",NA
"metref","simpls","lda","cpu","rsvd",3,307,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.875706214689266,0.875706214689266,NA,NA,0.315,0.065999999999999,0.380999999999998,"ok",NA
"metref","simpls","lda","cpu","rsvd",4,401,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.870056497175141,0.870056497175141,NA,NA,0.318,0.0660000000000007,0.384,"ok",NA
"metref","simpls","lda","cpu","rsvd",5,503,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.790960451977401,0.790960451977401,NA,NA,0.33,0.0709999999999997,0.401,"ok",NA
"metref","simpls","lda","cpu","rsvd",6,601,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.853107344632768,0.853107344632768,NA,NA,0.331,0.0660000000000007,0.397,"ok",NA
"metref","simpls","lda","cpu","rsvd",7,701,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.887005649717514,0.887005649717514,NA,NA,0.317,0.0650000000000013,0.382000000000001,"ok",NA
"metref","simpls","lda","cpu","rsvd",8,809,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.887005649717514,0.887005649717514,NA,NA,0.319000000000001,0.0660000000000007,0.385000000000002,"ok",NA
"metref","simpls","lda","cpu","rsvd",9,907,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.858757062146893,0.858757062146893,NA,NA,0.316000000000001,0.0679999999999996,0.384,"ok",NA
"metref","simpls","lda","cpu","rsvd",10,1009,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.88135593220339,0.88135593220339,NA,NA,0.315999999999999,0.0660000000000007,0.382,"ok",NA
