"scenario_id","design_partition","factor_name","factor_value","task_type","route","backend","svd_method","xprod_requested","xprod_used","requested_oversample","requested_power","rsvd_control_profile","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","effective_oversample","effective_power","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_incremental_rss_mb","median_process_peak_rss_mb","median_gpu_process_peak_mb","median_model_size_mb","median_prediction_relative_error","min_prediction_correlation","min_label_agreement","median_metric_absolute_difference","numerical_failures","completed_runs"
"05_q_25","one_factor","q",25,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,25,NA,30,20,1,0.0762939453125,0.03,0,0.002,0,0.032,0,7.74975000000001,236.156,NA,0.160018920898438,0,1,NA,0,0,1
"05_q_25","one_factor","q",25,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,25,NA,30,20,1,0.0762939453125,0.098,0,0.002,0,0.1,0,7.031375,233.547,NA,0.165107727050781,1.5430651273344e-06,0.99999999999881,NA,4.16686248283504e-08,0,1
"05_q_25","one_factor","q",25,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,25,NA,30,20,1,0.0762939453125,0.187,0,0.006,0,0.193,0,21.375125,250.172,NA,0.534942626953125,1.45146794318999e-06,0.999999999998947,NA,7.46015693664503e-09,0,1
"06_q_500","one_factor","q",500,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,500,NA,30,20,1,1.52587890625,0.305,0,0.0249999999999999,0,0.33,0,31.359625,290.719,NA,1.68570709228516,0,1,NA,0,0,1
"06_q_500","one_factor","q",500,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,2000,400,400,500,NA,30,20,1,1.52587890625,2.14,0,0.0260000000000002,0,2.166,0,31.296875,296.875,NA,1.69081115722656,9.54135256946445e-06,0.999999999954526,NA,2.85338924266298e-07,0,1
"06_q_500","one_factor","q",500,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,2000,400,400,500,NA,30,20,1,1.52587890625,1.311,0,0.00700000000000012,0,1.318,0,77.218375,342.109,NA,2.13312530517578,9.52548713233772e-06,0.999999999954624,NA,2.8079488567645e-07,0,1
"11_rank_5","one_factor","rank",5,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,100,NA,5,5,1,0.30517578125,0.036,0,0.006,0,0.042,0,13.31225,243.156,NA,0.343681335449219,0,1,NA,0,0,1
"11_rank_5","one_factor","rank",5,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,100,NA,5,5,1,0.30517578125,0.101,0,0.006,0,0.107,0,8.781375,242.547,NA,0.348770141601562,1.38960404874862e-15,1,NA,5.55111512312578e-17,0,1
"11_rank_5","one_factor","rank",5,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,100,NA,5,5,1,0.30517578125,0.101,0,0.003,0,0.104,0,21.4995,258.812,NA,0.443954467773438,2.11628247643248e-07,0.999999999999973,NA,5.88899295994594e-09,0,1
"12_rank_40","one_factor","rank",40,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,100,NA,40,5,1,0.30517578125,0.043,0,0.005,0,0.048,0,12.891,246.016,NA,0.343681335449219,0,1,NA,0,0,1
"12_rank_40","one_factor","rank",40,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,100,NA,40,5,1,0.30517578125,0.101,0,0.006,0,0.107,0,7.39099999999999,237.391,NA,0.348770141601562,5.45700909643959e-06,0.999999999985115,NA,3.20239691431468e-08,0,1
"12_rank_40","one_factor","rank",40,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,100,NA,40,5,1,0.30517578125,0.105,0,0.006,0,0.111,0,22.937375,259.453,NA,0.443954467773438,3.46392921866796e-06,0.999999999994005,NA,2.60739330126825e-08,0,1
