"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"selected_backend__ccle__simpls__cpu__r1","selected_component_backend_panel","ccle","classification","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",26,547,71,1000,18,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.153,0.002,0.155,226.015625,235.015625,235.265625,235.359375,9.34375,"accuracy",0.71830985915493,0.71830985915493,0.404626414454975,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__simpls__cpu__r2","selected_component_backend_panel","ccle","classification","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",26,547,71,1000,18,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.153,0.002,0.155,229.21875,234.0625,234.171875,234.21875,5,"accuracy",0.71830985915493,0.71830985915493,0.404626414454975,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__simpls__cpu__r3","selected_component_backend_panel","ccle","classification","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",26,547,71,1000,18,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.153,0.002,0.155,227.5625,236.5625,236.671875,236.71875,9.15625,"accuracy",0.71830985915493,0.71830985915493,0.404626414454975,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__simpls__metal__r1","selected_component_backend_panel","ccle","classification","simpls","metal","metal","metal","rsvd","argmax","float64",26,547,71,1000,18,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.224,0.00800000000000001,0.232,233.5,263.671875,263.859375,267.09375,33.59375,"accuracy",0.71830985915493,0.71830985915493,0.404626394197711,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__simpls__metal__r2","selected_component_backend_panel","ccle","classification","simpls","metal","metal","metal","rsvd","argmax","float64",26,547,71,1000,18,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.234,0.003,0.237,223.875,260.703125,261.078125,262.40625,38.53125,"accuracy",0.71830985915493,0.71830985915493,0.404626394197711,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__simpls__metal__r3","selected_component_backend_panel","ccle","classification","simpls","metal","metal","metal","rsvd","argmax","float64",26,547,71,1000,18,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.238,0.005,0.243,227.796875,260.5,260.6875,262.453125,34.65625,"accuracy",0.71830985915493,0.71830985915493,0.404626394197711,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__opls__cpu__r1","selected_component_backend_panel","ccle","classification","opls","cpu",NA,NA,"rsvd","argmax","float64",25,547,71,1000,18,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.162,0.002,0.164,228.484375,242.421875,242.578125,242.625,14.140625,"accuracy",0.676056338028169,0.676056338028169,0.382902066511388,NA,23468,71,"success","","","0.99.39"
"selected_backend__ccle__opls__cpu__r2","selected_component_backend_panel","ccle","classification","opls","cpu",NA,NA,"rsvd","argmax","float64",25,547,71,1000,18,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.16,0.002,0.162,227.34375,240.921875,241.046875,241.09375,13.75,"accuracy",0.676056338028169,0.676056338028169,0.382902066511388,NA,23468,71,"success","","","0.99.39"
"selected_backend__ccle__opls__cpu__r3","selected_component_backend_panel","ccle","classification","opls","cpu",NA,NA,"rsvd","argmax","float64",25,547,71,1000,18,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.161,0.003,0.164,223.6875,241.328125,241.46875,241.65625,17.96875,"accuracy",0.676056338028169,0.676056338028169,0.382902066511388,NA,23468,71,"success","","","0.99.39"
"selected_backend__ccle__opls__metal__r1","selected_component_backend_panel","ccle","classification","opls","metal","metal","metal","rsvd","argmax","float64",25,547,71,1000,18,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.264,0.00700000000000001,0.271,221.890625,260.59375,260.84375,262.921875,41.03125,"accuracy",0.676056338028169,0.676056338028169,0.382902071935521,NA,23468,71,"success","","","0.99.39"
