"dataset","task_type","n_train","n_test","p","q","ncomp","method","backend","svd_method","pair","configuration","optimized_value","optimization_applicable","xprod","replicate","fit_time_sec","predict_time_sec","total_time_sec","metric_name","metric_value","rss_before_fit_mb","status","error","fit_window_peak_rss_mb","incremental_peak_rss_mb","prediction_agreement","max_abs_prediction_diff"
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,3,0.017,0.01,0.027,"accuracy",0.77,188.515625,"success",NA,197.40625,8.890625,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,1,0.019,0.01,0.029,"accuracy",0.77,191.34375,"success",NA,200.65625,9.3125,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,2,0.017,0.00900000000000001,0.026,"accuracy",0.77,194.3125,"success",NA,198.96875,4.65625,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,3,0.018,0.00900000000000001,0.027,"accuracy",0.77,189.53125,"success",NA,199.03125,9.5,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","compact_prediction","compact_prediction",TRUE,TRUE,FALSE,1,0.016,0.00700000000000001,0.023,"accuracy",0.77,187.5,"success",NA,196.28125,8.78125,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","compact_prediction","compact_prediction",TRUE,TRUE,FALSE,2,0.016,0.00700000000000001,0.023,"accuracy",0.77,191.265625,"success",NA,197.578125,6.3125,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","compact_prediction","compact_prediction",TRUE,TRUE,FALSE,3,0.016,0.00700000000000001,0.023,"accuracy",0.77,185.453125,"success",NA,194.15625,8.703125,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_deflation_products","deflation_cached",TRUE,TRUE,FALSE,1,0.016,0.00900000000000001,0.025,"accuracy",0.77,193.015625,"success",NA,200.9375,7.921875,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_deflation_products","deflation_cached",TRUE,TRUE,FALSE,2,0.016,0.01,0.026,"accuracy",0.77,197.1875,"success",NA,202.015625,4.828125,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_deflation_products","deflation_cached",TRUE,TRUE,FALSE,3,0.017,0.01,0.027,"accuracy",0.77,186.953125,"success",NA,197.03125,10.078125,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_deflation_products","deflation_inline",FALSE,TRUE,FALSE,1,0.016,0.00900000000000001,0.025,"accuracy",0.77,197.984375,"success",NA,201.4375,3.453125,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_deflation_products","deflation_inline",FALSE,TRUE,FALSE,2,0.017,0.01,0.027,"accuracy",0.77,188.328125,"success",NA,197.96875,9.640625,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_deflation_products","deflation_inline",FALSE,TRUE,FALSE,3,0.017,0.01,0.027,"accuracy",0.77,188.03125,"success",NA,198.203125,10.171875,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","matrix_free","explicit_crosscov",FALSE,TRUE,FALSE,1,0.016,0.00700000000000001,0.023,"accuracy",0.77,191.5625,"success",NA,195.515625,3.953125,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","matrix_free","explicit_crosscov",FALSE,TRUE,FALSE,2,0.016,0.00700000000000001,0.023,"accuracy",0.77,190.78125,"success",NA,198.921875,8.140625,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","matrix_free","explicit_crosscov",FALSE,TRUE,FALSE,3,0.017,0.00700000000000001,0.024,"accuracy",0.77,189.171875,"success",NA,196.234375,7.0625,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","matrix_free","matrix_free",TRUE,TRUE,TRUE,1,0.179,0.00700000000000001,0.186,"accuracy",0.77,189.53125,"success",NA,193.5,3.96875,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","matrix_free","matrix_free",TRUE,TRUE,TRUE,2,0.178,0.00700000000000001,0.185,"accuracy",0.77,195.1875,"success",NA,198.140625,2.953125,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","matrix_free","matrix_free",TRUE,TRUE,TRUE,3,0.176,0.00700000000000001,0.183,"accuracy",0.77,192.078125,"success",NA,195.125,3.046875,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_XtX","xtx_off",FALSE,FALSE,FALSE,1,0.0189999999999999,0.01,0.0289999999999999,"accuracy",0.77,185.109375,"success",NA,195.125,10.015625,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_XtX","xtx_off",FALSE,FALSE,FALSE,2,0.016,0.01,0.026,"accuracy",0.77,194.15625,"success",NA,200.375,6.21875,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_XtX","xtx_off",FALSE,FALSE,FALSE,3,0.017,0.00900000000000001,0.026,"accuracy",0.77,187.109375,"success",NA,196.375,9.265625,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_XtX","xtx_on",TRUE,FALSE,FALSE,1,0.017,0.01,0.027,"accuracy",0.77,193.09375,"success",NA,202.609375,9.515625,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_XtX","xtx_on",TRUE,FALSE,FALSE,2,0.016,0.00900000000000001,0.025,"accuracy",0.77,191.71875,"success",NA,199.1875,7.46875,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","cached_XtX","xtx_on",TRUE,FALSE,FALSE,3,0.017,0.00900000000000001,0.026,"accuracy",0.77,198.375,"success",NA,206.640625,8.265625,1,NA
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,1,1.303,0.426,1.729,"rmsd",0.54824784254272,217.234375,"success",NA,616.34375,399.109375,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,2,1.348,0.396,1.744,"rmsd",0.54824784254272,209.375,"success",NA,617.296875,407.921875,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,3,1.329,0.395,1.724,"rmsd",0.54824784254272,214.03125,"success",NA,662.609375,448.578125,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,1,1.383,0.399,1.782,"rmsd",0.54824784254272,209.453125,"success",NA,648.96875,439.515625,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,2,1.404,0.397,1.801,"rmsd",0.54824784254272,212.453125,"success",NA,663.578125,451.125,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,3,1.392,0.402,1.794,"rmsd",0.54824784254272,204.890625,"success",NA,659.28125,454.390625,1,0
"prism","regression",479,54,1000,4686,5,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,1,1.43,0.4,1.83,"rmsd",0.54824784254272,214.078125,"success",NA,617.078125,403,1,0
